NewtonAgentnum,a1,b1,a2,b2,mu,K,lastIterationValue,newtonAgent,innerloop,method,setup,nodes
0,0,-4,0,0,-3,231,1.928332604705929e-09,[],1,before,3,8
2,0,-3,0,-4,-3,178,1.6484351661461005e-09,[0 6],1,before,3,8
4,0,-4,0,-2,-3,129,1.896143686508367e-09,[0 2 3 6],1,before,3,8
6,0,-3,0,-3,-2,99,1.7937713536753108e-09,[0 2 3 4 5 6],1,before,3,8
8,0,0,0,-2,-4,19,1.5571712808082339e-09,[0 1 2 3 4 5 6 7],1,before,3,8
0,0,-4,0,0,-3,93,1.7120043160900877e-09,[],4,before,3,8
2,0,-4,0,-1,-4,80,1.7173427124816953e-09,[0 6],4,before,3,8
4,0,-4,0,-2,-3,57,2.0506165654410324e-09,[0 2 3 6],4,before,3,8
6,0,-4,0,-1,-3,51,1.537104221682739e-09,[0 2 3 4 5 6],4,before,3,8
8,0,0,0,-2,-4,19,1.5571712808082339e-09,[0 1 2 3 4 5 6 7],4,before,3,8
0,0,-4,0,0,-3,500,1.928332604705929e-09,[],0,before,3,8
2,0,-3,0,-4,-3,500,1.6484351661461005e-09,[0 6],0,before,3,8
4,0,-4,0,-2,-3,500,1.896143686508367e-09,[0 2 3 6],0,before,3,8
6,0,-3,0,-3,-2,500,1.7937713536753108e-09,[0 2 3 4 5 6],0,before,3,8
8,0,0,0,-2,-4,500,1.5571712808082339e-09,[0 1 2 3 4 5 6 7],0,before,3,8
